YEAR,STATE,AVG_SCORE,TEST_SUBJECT,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,$/STUDENT
2009,Arizona,277.332282,Mathematics,981303.0,8802515,1044140,3806064,3952311,8.970231416799908
2009,Arkansas,275.9995,Mathematics,474423.0,4753142,534510,3530487,688145,10.01878492400242
2009,California,270.4485881,Mathematics,6234155.0,73958896,9745250,40084244,24129402,11.863499704450723
2009,Colorado,287.3729075,Mathematics,812068.0,8310673,560538,3634018,4116117,10.233961934222258
2009,Connecticut,288.6085135,Mathematics,539250.0,9681268,403017,3606594,5671657,17.953209086694482
2009,Delaware,283.829473,Mathematics,116804.0,1718993,109682,1047418,561893,14.716901818430875
2009,District of Columbia,253.5951869,Mathematics,44331.0,801008,75856,0,725152,18.06880061356613
2009,Florida,279.3352641,Mathematics,2623067.0,26494500,2694566,9047586,14752348,10.100580732402184
2009,Georgia,277.5611997,Mathematics,1649598.0,17972839,1644548,7739086,8589205,10.895284184389165
2009,Hawaii,273.7586067,Mathematics,179478.0,2689758,392837,2205032,91889,14.986561026978237
2009,Idaho,287.3052151,Mathematics,267951.0,2182273,218777,1459554,503942,8.14429877104396
2009,Illinois,282.431417,Mathematics,2117291.0,26987426,3346509,7879160,15761757,12.746205410593065
2009,Indiana,286.8099779,Mathematics,1028259.0,12999357,1403839,5804809,5790709,12.642103789025917
2009,Iowa,284.1701786,Mathematics,487559.0,5732319,431142,2545353,2755824,11.757180156657963
2009,Kansas,288.596403,Mathematics,470445.0,5615208,378810,3291485,1944913,11.935950004782706
2009,Kentucky,279.2842161,Mathematics,669858.0,6706922,719997,3870440,2116485,10.012453385642928
2009,Louisiana,272.3799067,Mathematics,662774.0,7984550,1238259,3568903,3177388,12.047168416383261
2009,Maine,286.3614259,Mathematics,187372.0,2623127,245063,1107152,1270912,13.999567704886536
2009,Maryland,288.3415653,Mathematics,843781.0,13147931,694846,5697257,6755828,15.58216053691657
2009,Massachusetts,298.8543466,Mathematics,932437.0,15298022,1181681,5974489,8141852,16.40649395079775
2009,Michigan,278.2681682,Mathematics,1537515.0,19616665,2094714,10130740,7391211,12.758682029118415
2009,Minnesota,294.4433201,Mathematics,800831.0,10353784,575703,6590788,3187293,12.928800208783127
2009,Mississippi,265.0019582,Mathematics,491194.0,4392101,675576,2334363,1382162,8.941682919579636
2009,Missouri,285.8080019,Mathematics,893807.0,9472520,758650,3927189,4786681,10.597947879128268
2009,Montana,291.5429429,Mathematics,141782.0,1607935,195705,765177,647053,11.340896587719174
2009,Nebraska,284.2590935,Mathematics,292161.0,3522481,297732,1182776,2041973,12.056643426056182
2009,Nevada,274.1485417,Mathematics,430985.0,4442101,425133,2272415,1744553,10.306857547246423
2009,New Hampshire,292.3218172,Mathematics,197024.0,2816162,146867,1002239,1667056,14.293497238915055
2009,New Jersey,292.6572271,Mathematics,1354912.0,26510413,1014556,10401527,15094330,19.566151159632508
2009,New Mexico,269.7042538,Mathematics,328737.0,3703477,519973,2615320,568184,11.26577476827981
2009,New York,282.5769154,Mathematics,2696688.0,55885116,3197833,25768345,26918938,20.72361207525676
2009,North Carolina,284.3326353,Mathematics,1452064.0,15410564,1377661,8229140,5803763,10.612868303325474
2009,North Dakota,292.8424885,Mathematics,94653.0,1150142,160294,407374,582474,12.151141538038942
2009,Ohio,285.5830138,Mathematics,1729072.0,22779344,1531263,10226228,11021853,13.174317784337495
2009,Oklahoma,275.7119568,Mathematics,644549.0,6029807,768972,3014993,2245842,9.355079287998274
2009,Oregon,285.0368144,Mathematics,560726.0,6158756,656298,3117315,2385143,10.98353919739766
2009,Pennsylvania,288.3041689,Mathematics,1687145.0,26755585,1811141,9858461,15085983,15.85849763950342
2009,Rhode Island,277.9237194,Mathematics,141521.0,2179714,206225,765069,1208420,15.402053405501658
2009,South Carolina,280.3808554,Mathematics,714290.0,7669733,734602,3654658,3280473,10.737561774629352
2009,South Dakota,290.6191277,Mathematics,126624.0,1258876,201889,412798,644189,9.941843568359868
2009,Tennessee,274.7618211,Mathematics,971484.0,8112895,870374,3800870,3441651,8.351033058701944
2009,Texas,286.6850767,Mathematics,4647205.0,48087531,4913841,19708771,23464919,10.347624217136968
2009,Utah,284.0682519,Mathematics,532433.0,4238943,535223,2224007,1479713,7.961458061389884
2009,Vermont,292.8660964,Mathematics,86320.0,1683034,102453,1336424,244157,19.497613531047264
2009,Virginia,286.069755,Mathematics,1235064.0,15251481,914507,6317714,8019260,12.34873739336585
2009,Washington,288.7223756,Mathematics,1035907.0,12025012,1385421,7146416,3493175,11.608196488680933
